numero_questao,gabarito,NU_PARAM_A,nu_param_B,NU_PARAM_C,ANO,enunciado,alternativas,gabarito_texto,distratores,enunciado_limpo,alternativas_limpo,gabarito_texto_limpo,distratores_limpo
11,B,1.42185,0.7908,0.03124,2017," Os maiores consumidores da infraestrutura logística para exportação no Brasil são os produtos a granel, dentre os quais se destacam o minério de ferro, petróleo e seus derivados e a soja, que, por possuírem baixo valor agregado, e por serem movimentados em grandes volumes, necessitam de uma infraestrutura de grande porte e baixos custos. No caso da soja, a infraestrutura deixa muito a desejar, resultando em enormes ﬁlas de navios, caminhões e trens, que, por ﬁcarem grande parte do tempo ociosos nas ﬁlas, têm seu custo majorado, onerando fortemente o exportador, afetando sua margem de lucro e ameaçando nossa competitividade internacional.No contexto do início do século XXI, uma ação para solucionar os problemas logísticos da soja apresentados no texto seria a",A: isenção de impostos de transportes; B: construção de terminais atracadouros; C: diversiﬁcação dos parceiros comerciais; D: contratação de trabalhadores portuários; E: intensiﬁcação do policiamento das rodovias,construção de terminais atracadouros,isenção de impostos de transportes; diversiﬁcação dos parceiros comerciais; contratação de trabalhadores portuários; intensiﬁcação do policiamento das rodovias,afetando agregado ameaçando apresentados ação baixo baixos brasil caminhões caso competitividade consumidores contexto custo custos deixa dentre derivados desejar destacam enormes exportador exportação ferro fortemente grande grandes granel infraestrutura internacional início logística logísticos lucro maiores majorado margem minério movimentados navios necessitam ociosos onerando parte petróleo porte possuírem problemas produtos quais resultando serem soja solucionar século tempo texto trens têm valor volumes xxi,A: impostos isenção transportes; B: atracadouros construção terminais; C: comerciais parceiros; D: contratação portuários trabalhadores; E: policiamento rodovias,atracadouros construção terminais,comerciais contratação impostos isenção parceiros policiamento portuários rodovias trabalhadores transportes
12,D,2.19559,1.6262,0.15363,2017,"A diversidade de atividades relacionadas ao setor terciário reforça a tendência mais geral de desindustrialização de muitos dos países desenvolvidos sem que estes, contudo, percam o comando da economia. Essa mudança implica nova divisão internacional do trabalho, que não é mais apoiada na clara segmentação setorial das atividades econômicas.Nesse contexto, o fenômeno descrito tem como um de seus resultados a",A: saturação do setor secundário; B:  ampliação dos direitos laborais; C:  bipolarização do poder geopolítico; D:  consolidação do domínio tecnológico; E:  primarização das exportações globais,consolidação do domínio tecnológico,saturação do setor secundário; ampliação dos direitos laborais; bipolarização do poder geopolítico; primarização das exportações globais,apoiada atividades clara comando contexto contudo descrito desenvolvidos desindustrialização diversidade divisão economia econômicas fenômeno geral implica internacional mudança muitos nesse nova países percam reforça relacionadas resultados segmentação setor setorial tendência terciário trabalho,A: saturação secundário setor; B: ampliação direitos laborais; C: bipolarização geopolítico poder; D: consolidação domínio tecnológico; E: exportações globais primarização,consolidação domínio tecnológico,ampliação bipolarização direitos exportações geopolítico globais laborais poder primarização saturação secundário setor
13,B,3.76399,0.57236,0.22484,2017,"Muitos países se caracterizam por terem populações multiétnicas. Com frequência, evoluíram desse modo ao longo de séculos. Outras sociedades se tornaram multiétnicas mais rapidamente, como resultado de políticas incentivando a migração, ou por conta de legados coloniais e imperiais. Do ponto de vista do funcionamento das democracias contemporâneas, o modelo de sociedade descrito demanda, simultaneamente,",A: defesa do patriotismo e rejeição ao hibridismo; B: universalização de direitos e respeito à diversidade; C: segregação do território e estímulo ao autogoverno; D: políticas de compensação e homogeneização do idioma.; E: padronização da cultura e repressão aos particularismos,universalização de direitos e respeito à diversidade,defesa do patriotismo e rejeição ao hibridismo; segregação do território e estímulo ao autogoverno; políticas de compensação e homogeneização do idioma.; padronização da cultura e repressão aos particularismos,caracterizam coloniais conta contemporâneas demanda democracias descrito desse evoluíram frequência funcionamento imperiais incentivando legados longo migração modelo modo muitos multiétnicas outras países políticas ponto populações rapidamente resultado simultaneamente sociedade sociedades séculos terem tornaram vista,A: defesa hibridismo patriotismo rejeição; B: direitos diversidade respeito universalização; C: autogoverno estímulo segregação território; D: compensação homogeneização idioma políticas; E: cultura padronização particularismos repressão,direitos diversidade respeito universalização,autogoverno compensação cultura defesa estímulo hibridismo homogeneização idioma padronização particularismos patriotismo políticas rejeição repressão segregação território
14,E,0.9804,1.31334,0.0939,2017,"Descrição do climograma: Indica a variação anual da temperatura e da pluviosidade de uma cidade, apresentando os seguintes dados:• de janeiro até o ﬁm de março: a temperatura subiu de aproximadamente 10 graus Celsius negativos para 0 grau Celsius, enquanto a pluviosidade desceu de mais de 40 milímetros para um pouco mais de 30 milímetros; • do ﬁm de março a julho: a temperatura subiu de 0 grau Celsius até o pico de um pouco menos  de 20 graus Celsius, enquanto a pluviosidade subiu de mais de 30 milímetros para aproximadamente  90 milímetros; e• a partir de julho: a temperatura iniciou um processo de queda até chegar a 0 grau Celsius, no início de novembro, descendo ainda mais em dezembro, para aproximadamente 10 graus Celsius negativos, enquanto a pluviosidade desceu de 90 milímetros para um pouco mais de 50 milímetros em dezembro. Descrição do mapa: O mapa-múndi indica as cidades de Moscou e Barcelona, na Europa; Mumbai, na Ásia; Cidade do Cabo, na África; e Sydney, na Oceania.As temperaturas médias  mensais e as taxas de pluviosidade expressas no climograma apresentam o clima típico da seguinte cidade:","A:  Cidade do Cabo (África do Sul), marcado pela reduzida amplitude térmica anual; B:  Sydney (Austrália), caracterizado por precipitações abundantes no decorrer do ano; C:  Mumbai (Índia), deﬁnido pelas chuvas monçônicas torrenciais; D:  Barcelona (Espanha), afetado por massas de ar seco; E:  Moscou (Rússia), influenciado pela localização geográﬁca em alta la titude","Moscou (Rússia), influenciado pela localização geográﬁca em alta la titude","Cidade do Cabo (África do Sul), marcado pela reduzida amplitude térmica anual; Sydney (Austrália), caracterizado por precipitações abundantes no decorrer do ano; Mumbai (Índia), deﬁnido pelas chuvas monçônicas torrenciais; Barcelona (Espanha), afetado por massas de ar seco",ainda anual apresentam apresentando aproximadamente barcelona cabo celsius chegar cidade cidades clima climograma dados descendo desceu descrição dezembro enquanto europa expressas grau graus indica iniciou início janeiro julho mapa março menos mensais milímetros moscou mumbai médias múndi negativos novembro oceania partir pico pluviosidade pouco processo queda seguinte seguintes subiu sydney taxas temperatura temperaturas típico variação áfrica ásia,A: amplitude anual cabo cidade marcado reduzida sul térmica áfrica; B: abundantes ano austrália caracterizado decorrer precipitações sydney; C: chuvas monçônicas mumbai torrenciais índia; D: afetado ar barcelona espanha massas seco; E: alta influenciado la localização moscou rússia titude,alta influenciado la localização moscou rússia titude,abundantes afetado amplitude ano anual ar austrália barcelona cabo caracterizado chuvas cidade decorrer espanha marcado massas monçônicas mumbai precipitações reduzida seco sul sydney torrenciais térmica áfrica índia
15,D,3.08524,0.90303,0.16443,2017,"No livro Desenvolvimento como liberdade, Amartya Sen escreve:Procuramos demonstrar que o desenvolvimento pode ser visto como um processo de expansão das liberdades reais que as pessoas desfrutam. O enfoque nas liberdades humanas contrasta com visões mais restritas de desenvolvimento, como as que identiﬁcam desenvolvimento com crescimento do Produto Nacional Bruto, ou industrialização. O crescimento do PNB pode ser muito importante como um meio de expandir as liberdades. Mas as liberdades dependem também de outros determinantes, como os serviços de educação e saúde e os direitos civis.A concepção de desenvolvimento proposta no texto fundamenta-se no vínculo entre",A:  incremento da indústria e atuação no mercado ﬁnanceiro; B:  criação de programas assistencialistas e controle de preços; C:  elevação da renda média e arrecadação de impostos; D:  garantia da cidadania e ascensão econômica; E:  ajuste de políticas econômicas e incentivos ﬁscais,garantia da cidadania e ascensão econômica,incremento da indústria e atuação no mercado ﬁnanceiro; criação de programas assistencialistas e controle de preços; elevação da renda média e arrecadação de impostos; ajuste de políticas econômicas e incentivos ﬁscais,amartya bruto civis concepção contrasta crescimento demonstrar dependem desenvolvimento desfrutam determinantes direitos educação enfoque escreve expandir expansão fundamenta humanas importante industrialização liberdade liberdades livro meio nacional outros pessoas pnb pode processo procuramos produto proposta reais restritas saúde sen serviços texto visto visões vínculo,A: atuação incremento indústria mercado; B: assistencialistas controle criação preços programas; C: arrecadação elevação impostos média renda; D: ascensão cidadania econômica garantia; E: ajuste econômicas incentivos políticas,ascensão cidadania econômica garantia,ajuste arrecadação assistencialistas atuação controle criação econômicas elevação impostos incentivos incremento indústria mercado média políticas preços programas renda
16,A,1.31894,0.45809,0.22039,2017,"A primeira Guerra do Golfo, genuinamente apoiada pelas Nações Unidas e pela comunidade internacional, assim como a reação imediata ao Onze de Setembro, demonstravam a força da posição dos Estados Unidos na era pós-soviética.Um aspecto que explica a força dos Estados Unidos, apontada pelo texto, reside no(a)","A:  poder de suas bases militares espalhadas ao redor do mundo; B:  alinhamento geopolítico da Rússia em relação aos EUA; C:  política de expansionismo territorial exercida sobre Cuba; D:  aliança estratégica com países produtores de petróleo, como Kuwait e Irã; E:  incorporação da China à Organização do Tratado  do Atlântico Norte (Otan)",poder de suas bases militares espalhadas ao redor do mundo,"alinhamento geopolítico da Rússia em relação aos EUA; política de expansionismo territorial exercida sobre Cuba; aliança estratégica com países produtores de petróleo, como Kuwait e Irã; incorporação da China à Organização do Tratado  do Atlântico Norte (Otan)",apoiada apontada aspecto assim comunidade demonstravam estados explica força genuinamente golfo guerra imediata internacional nações onze posição primeira pós reação reside setembro soviética texto unidas unidos,A: bases espalhadas militares mundo poder redor; B: alinhamento eua geopolítico relação rússia; C: cuba exercida expansionismo política sobre territorial; D: aliança estratégica irã kuwait países petróleo produtores; E: atlântico china incorporação norte organização otan tratado,bases espalhadas militares mundo poder redor,aliança alinhamento atlântico china cuba estratégica eua exercida expansionismo geopolítico incorporação irã kuwait norte organização otan países petróleo política produtores relação rússia sobre territorial tratado
17,E,4.15431,0.99679,0.17249,2017," O New Deal visa restabelecer o equilíbrio entre o custo de produção e o preço, entre a cidade e o campo, entre os preços agrícolas e os preços industriais, reativar o mercado interno — o único que é importante —, pelo controle de preços e da produção, pela revalorização dos salários e do poder aquisitivo das massas, isto é, dos lavradores e operários, e pela regulamentação das condições de emprego.Tendo como referência os condicionantes históricos do entreguerras, as medidas governamentais descritas objetivavam",A:  flexibilizar as regras do mercado ﬁnanceiro; B:  fortalecer o sistema de tributação regressiva; C:  introduzir os dispositivos de contenção creditícia; D:  racionalizar os custos da automação industrial mediante negociação sindical; E:  recompor os mecanismos de acumulação econômica por meio da intervenção estatal,recompor os mecanismos de acumulação econômica por meio da intervenção estatal,flexibilizar as regras do mercado ﬁnanceiro; fortalecer o sistema de tributação regressiva; introduzir os dispositivos de contenção creditícia; racionalizar os custos da automação industrial mediante negociação sindical,agrícolas aquisitivo campo cidade condicionantes condições controle custo deal descritas emprego entreguerras equilíbrio governamentais históricos importante industriais interno lavradores massas medidas mercado new objetivavam operários poder preço preços produção reativar referência regulamentação restabelecer revalorização salários tendo visa único,A: flexibilizar mercado regras; B: fortalecer regressiva sistema tributação; C: contenção creditícia dispositivos introduzir; D: automação custos industrial mediante negociação racionalizar sindical; E: acumulação econômica estatal intervenção mecanismos meio recompor,acumulação econômica estatal intervenção mecanismos meio recompor,automação contenção creditícia custos dispositivos flexibilizar fortalecer industrial introduzir mediante mercado negociação racionalizar regras regressiva sindical sistema tributação
18,C,3.11845,1.14451,0.21842,2017,"No Manifesto Futurista, Marinetti escreve:E venham, então, os alegres incendiários de dedos carbonizados! Vamos! Ateiem fogo às estantes das bibliotecas! Desviem o curso dos canais, para inundar os museus! Empunhem as picaretas, os machados, os martelos e deitem abaixo sem piedade as cidades veneradas!Que princípio marcante do Futurismo e comum a várias correntes artísticas e culturais das primeiras três décadas do século XX está destacado no texto?",A:  A tradição é uma força incontornável; B:  A arte é expressão da memória coletiva; C:  A modernidade é a superação decisiva da história; D: A realidade cultural é determinada economicamente; E: A memória é um elemento crucial da identidade cultural,A modernidade é a superação decisiva da história,A tradição é uma força incontornável; A arte é expressão da memória coletiva; A realidade cultural é determinada economicamente; A memória é um elemento crucial da identidade cultural,abaixo alegres artísticas ateiem bibliotecas canais carbonizados cidades comum correntes culturais curso dedos deitem destacado desviem décadas empunhem então escreve estantes fogo futurismo futurista incendiários inundar machados manifesto marcante marinetti martelos museus picaretas piedade primeiras princípio século texto três vamos veneradas venham várias xx,A: força incontornável tradição; B: arte coletiva expressão memória; C: decisiva história modernidade superação; D: cultural determinada economicamente realidade; E: crucial cultural elemento identidade memória,decisiva história modernidade superação,arte coletiva crucial cultural determinada economicamente elemento expressão força identidade incontornável memória realidade tradição
19,A,0.53807,1.55692,0.03894,2017,"No livro Uma teoria da justiça , John Rawls escreve:Uma sociedade é uma associação mais ou menos autossuﬁciente de pessoas que em suas relações mútuas reconhecem certas regras de conduta como obrigatórias e que, na maioria das vezes, agem de acordo com elas. Uma sociedade é bem ordenada não apenas quando está planejada para promover o bem de seus membros, mas quando é também efetivamente regulada por uma concepção pública de justiça. Isto é, trata-se de uma sociedade na qual todos aceitam, e sabem que os outros aceitam, o mesmo princípio de justiça . A visão expressa nesse texto do século XX remete a qual aspecto do pensamento moderno?",A:  A relação entre liberdade e autonomia do Liberalismo; B:  A independência entre poder e moral do Racionalismo; C:  A convenção entre cidadãos e soberano do Absolutismo; D:  A dialética entre indivíduo e governo autocrata do Idealismo; E:  A contraposição entre bondade e condição selvagem do Naturalismo,A relação entre liberdade e autonomia do Liberalismo,A independência entre poder e moral do Racionalismo; A convenção entre cidadãos e soberano do Absolutismo; A dialética entre indivíduo e governo autocrata do Idealismo; A contraposição entre bondade e condição selvagem do Naturalismo,aceitam acordo agem apenas aspecto associação bem certas concepção conduta efetivamente escreve expressa john justiça livro maioria membros menos moderno mútuas nesse obrigatórias ordenada outros pensamento pessoas planejada princípio promover pública rawls reconhecem regras regulada relações remete sabem sociedade século teoria texto todos trata vezes visão xx,A: autonomia liberalismo liberdade relação; B: independência moral poder racionalismo; C: absolutismo cidadãos convenção soberano; D: autocrata dialética governo idealismo indivíduo; E: bondade condição contraposição naturalismo selvagem,autonomia liberalismo liberdade relação,absolutismo autocrata bondade cidadãos condição contraposição convenção dialética governo idealismo independência indivíduo moral naturalismo poder racionalismo selvagem soberano
20,E,1.59347,0.79893,0.02275,2017,"No livro Os Pré-Socráticos, consta:A representação de Demócrito é semelhante à de Anaxágoras, na medida em que um inﬁnitamente múltiplo é a origem; mas nele a determinação dos princípios fundamentais aparece de maneira tal que contém aquilo que para o que foi formado não é, absolutamente, o aspecto simples para si. Por exemplo, partículas de carne e de ouro seriam princípios que, através de sua concentração, formam aquilo que aparece como ﬁgura.O texto faz uma apresentação crítica acerca do pensamento de Demócrito, segundo o qual o “princípio constitutivo das coisas” estava representado pelo(a)","A: número, que fundamenta a criação dos deuses; B: devir, que simboliza o constante movimento dos objetos; C: água, que expressa a causa material da origem  do universo; D: imobilidade, que sustenta a existência do ser atemporal; E: átomo, que explica o surgimento dos entes","átomo, que explica o surgimento dos entes","número, que fundamenta a criação dos deuses; devir, que simboliza o constante movimento dos objetos; água, que expressa a causa material da origem  do universo; imobilidade, que sustenta a existência do ser atemporal",absolutamente acerca anaxágoras aparece apresentação aspecto através carne coisas concentração consta constitutivo contém crítica demócrito determinação exemplo faz formado formam fundamentais livro maneira medida múltiplo nele origem ouro partículas pensamento princípio princípios pré representado representação segundo semelhante si simples socráticos tal texto,A: criação deuses fundamenta número; B: constante devir movimento objetos simboliza; C: causa expressa material origem universo água; D: atemporal existência imobilidade sustenta; E: entes explica surgimento átomo,entes explica surgimento átomo,atemporal causa constante criação deuses devir existência expressa fundamenta imobilidade material movimento número objetos origem simboliza sustenta universo água
21,B,1.15442,1.88117,0.10267,2017,"Uma conversação de tal natureza transforma o ouvinte; o contato de Sócrates paralisa e embaraça; leva a refletir sobre si mesmo, a imprimir à atenção uma direção incomum: os temperamentais, como Alcibíades, sabem que encontrarão junto dele todo o bem de que são capazes, mas fogem porque receiam essa influência poderosa, que os leva a se censurarem. É sobretudo a esses jovens, muitos quase crianças, que ele tenta imprimir sua orientação.O texto evidencia características do modo de vida socrático, que se baseava na",A:  contemplação da tradição mítica; B:  sustentação do método dialético; C:  relativização do saber verdadeiro; D:  valorização da argumentação retórica.; E:  investigação dos fundamentos da natureza,sustentação do método dialético,contemplação da tradição mítica; relativização do saber verdadeiro; valorização da argumentação retórica.; investigação dos fundamentos da natureza,alcibíades atenção baseava bem capazes características censurarem contato conversação crianças direção embaraça encontrarão evidencia fogem imprimir incomum influência jovens junto leva modo muitos natureza orientação ouvinte paralisa poderosa porque quase receiam refletir sabem si sobre sobretudo socrático sócrates tal temperamentais tenta texto todo transforma vida,A: contemplação mítica tradição; B: dialético método sustentação; C: relativização saber verdadeiro; D: argumentação retórica valorização; E: fundamentos investigação natureza,dialético método sustentação,argumentação contemplação fundamentos investigação mítica natureza relativização retórica saber tradição valorização verdadeiro
22,D,1.37355,0.75842,0.07018,2017,"A grande maioria dos países ocidentais democráticos adotou o Tribunal Constitucional como mecanismo de controle dos demais poderes. A inclusão dos Tribunais no cenário político implicou alterações no cálculo para a implementação de políticas públicas. O governo, além de negociar seu plano político com o Parlamento, teve que se preocupar em não infringir a Constituição.  Essa nova arquitetura institucional propiciou o desenvolvimento de um ambiente político que viabilizou a participação do Judiciário nos processos decisórios.O texto faz referência a uma importante mudança na dinâmica de funcionamento dos Estados contemporâneos que, no caso brasileiro, teve como consequência a",A:  adoção de eleições para a alta magistratura; B:  diminuição das tensões entre os entes federativos; C:  suspensão do princípio geral dos freios e contrapesos; D:  judicialização de questões próprias da esfera legislativa; E:  proﬁssionalização do quadro de funcionários da Justiça,judicialização de questões próprias da esfera legislativa,adoção de eleições para a alta magistratura; diminuição das tensões entre os entes federativos; suspensão do princípio geral dos freios e contrapesos; proﬁssionalização do quadro de funcionários da Justiça,adotou alterações além ambiente arquitetura brasileiro caso cenário consequência constitucional constituição contemporâneos controle cálculo decisórios demais democráticos desenvolvimento dinâmica estados faz funcionamento governo grande implementação implicou importante inclusão infringir institucional judiciário maioria mecanismo mudança negociar nova ocidentais parlamento participação países plano poderes políticas político preocupar processos propiciou públicas referência texto tribunais tribunal viabilizou,A: adoção alta eleições magistratura; B: diminuição entes federativos tensões; C: contrapesos freios geral princípio suspensão; D: esfera judicialização legislativa próprias questões; E: funcionários justiça quadro,esfera judicialização legislativa próprias questões,adoção alta contrapesos diminuição eleições entes federativos freios funcionários geral justiça magistratura princípio quadro suspensão tensões
23,A,0.78,1.803,0.142,2017,"Ao destruir uma paisagem de árvores de troncos retorcidos, folhas e arbustos ásperos sobre os solos ácidos, não raro laterizados ou tomados pelas formas bizarras dos cupinzeiros, essa modernização lineariza e aparentemente não permite que se questione a pretensão modernista de que a forma deve seguir a função.O processo descrito ocorre em uma área biogeográﬁca com predomínio de vegetação",A:  tropóﬁla e clima tropical; B:  xeróﬁla e clima semiárido; C:  hidróﬁla e clima equatorial; D:  aciculifoliada e clima subtropical; E:  semidecídua e clima tropical úmido,tropóﬁla e clima tropical,xeróﬁla e clima semiárido; hidróﬁla e clima equatorial; aciculifoliada e clima subtropical; semidecídua e clima tropical úmido,aparentemente arbustos bizarras cupinzeiros descrito destruir deve folhas forma formas função laterizados lineariza modernista modernização ocorre paisagem permite predomínio pretensão processo questione raro retorcidos seguir sobre solos tomados troncos vegetação ácidos área árvores ásperos,A: clima tropical; B: clima semiárido; C: clima equatorial; D: aciculifoliada clima subtropical; E: clima semidecídua tropical úmido,clima tropical,aciculifoliada clima equatorial semidecídua semiárido subtropical tropical úmido
